Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,5720,0x0000000062E2CFE0,0,0,Hardware Composed: Independent Flip,0,1053.007509,29.827,29.536,0.213,26.893,27.073,0.902,59.175,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.212,0.284,0.212,117,158,158,NA,4416,31, 52,63.078, 65,100,1,77,1,63,1,45,1,81,23,98,1,34,1,31,1,17,12,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.036809,29.301,60.261,0.201,27.501,58.034,0.939,89.993,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.216,0.289,0.216,117,158,158,NA,4416,31, 52,63.078, 65,100,1,77,1,63,1,45,1,81,23,98,1,34,1,31,1,17,12,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.066263,29.454,24.944,0.190,29.257,53.524,0.993,85.522,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.217,0.292,0.217,116,156,156,NA,4415,29, 52,63.078, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.094978,28.715,25.058,0.204,31.262,49.867,1.089,81.138,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.223,0.299,0.223,116,156,156,NA,4415,29, 52,63.078, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.125443,30.465,33.357,0.220,32.893,52.758,1.080,84.555,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.210,0.282,0.210,116,156,156,NA,4415,29, 52,64.949, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.156132,30.689,33.312,0.178,34.174,55.382,1.114,88.413,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.208,0.280,0.208,116,156,156,NA,4415,29, 52,64.949, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.185025,28.893,33.327,0.176,37.317,59.815,1.292,92.297,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.221,0.297,0.221,116,156,156,NA,4415,29, 52,64.949, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.214494,29.469,33.305,0.180,39.781,63.651,1.350,95.982,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.217,0.292,0.217,116,156,156,NA,4415,29, 52,64.949, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.245261,30.767,24.988,0.171,40.951,57.872,1.331,90.857,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.208,0.279,0.208,116,156,156,NA,4415,29, 52,64.949, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.275697,30.436,33.313,0.172,41.148,60.748,1.352,93.846,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.210,0.282,0.210,116,156,156,NA,4415,29, 52,64.949, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.306161,30.464,33.331,0.166,41.429,63.615,1.360,96.152,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.210,0.282,0.210,116,156,156,NA,4415,29, 52,64.379, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.337946,31.785,33.336,0.176,40.247,65.166,1.266,97.971,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.201,0.270,0.201,116,156,156,NA,4415,29, 52,64.379, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.371356,33.410,25.003,0.166,37.353,56.759,1.118,91.830,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.191,0.257,0.191,116,156,156,NA,4415,29, 52,64.379, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.402441,31.085,33.365,0.198,36.903,59.040,1.187,92.923,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.206,0.277,0.206,116,156,156,NA,4415,29, 52,64.379, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.434638,32.197,33.303,0.175,35.611,60.145,1.106,93.810,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.199,0.267,0.199,116,156,156,NA,4415,29, 52,64.379, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.467157,32.519,25.043,0.177,33.609,52.669,1.034,86.749,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.197,0.264,0.197,116,156,156,NA,4415,29, 52,64.379, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.499051,31.894,33.293,0.167,32.372,54.069,1.015,88.096,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.200,0.269,0.200,116,156,156,NA,4415,29, 52,64.379, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.531837,32.785,33.332,0.182,30.185,54.615,0.921,89.595,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.195,0.262,0.195,116,156,156,NA,4415,29, 53,62.816, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.562422,30.586,24.981,0.181,30.346,49.011,0.992,83.222,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.209,0.281,0.209,116,156,156,NA,4415,29, 53,62.816, 65,100,0,79,0,64,0,37,0,32,78,98,0,34,0,24,0,14,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.593485,31.063,33.332,0.193,29.795,51.280,0.959,84.893,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.205,0.276,0.205,116,156,156,NA,4412,32, 53,62.816, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.625794,32.309,33.340,0.191,28.035,52.311,0.868,86.619,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.197,0.266,0.197,116,156,156,NA,4412,32, 53,62.816, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.655698,29.904,24.966,0.184,28.623,47.373,0.957,77.519,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.213,0.287,0.213,116,156,156,NA,4412,32, 53,62.816, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.687002,31.304,33.335,0.180,28.086,49.404,0.897,79.370,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.204,0.274,0.204,116,156,156,NA,4412,32, 53,62.816, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.718367,31.364,33.353,0.176,27.385,51.392,0.873,81.245,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.203,0.274,0.203,116,156,156,NA,4412,32, 53,63.777, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.750047,31.680,24.980,0.191,26.896,44.692,0.849,74.832,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.201,0.271,0.201,116,156,156,NA,4412,32, 53,63.777, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.780362,30.315,33.335,0.296,27.004,47.711,0.891,76.888,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.210,0.283,0.210,116,156,156,NA,4412,32, 53,63.777, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.812622,32.260,33.334,0.171,26.938,48.785,0.835,79.123,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.198,0.266,0.198,116,156,156,NA,4412,32, 53,63.777, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.843242,30.620,33.383,0.195,26.868,51.548,0.877,81.479,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.208,0.280,0.208,116,156,156,NA,4412,32, 53,63.777, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.874155,30.914,24.947,0.182,26.847,45.582,0.868,78.021,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.206,0.278,0.206,116,156,156,NA,4412,32, 53,63.777, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.904919,30.764,33.336,0.175,26.915,48.154,0.875,80.612,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.207,0.279,0.207,116,156,156,NA,4412,32, 52,63.073, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.935692,30.773,33.343,0.184,26.869,50.724,0.873,83.388,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.207,0.279,0.207,116,156,156,NA,4412,32, 52,63.073, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,1053.965982,30.290,24.992,0.176,27.034,45.426,0.893,77.809,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.211,0.283,0.211,116,156,156,NA,4412,32, 52,63.073, 65,100,1,78,1,68,1,38,1,66,57,97,1,36,1,30,1,17,12,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
