Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.665078,16.574,16.666,12.390,12.438,36.732,0.750,65.427,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.494,0.674,0.494,89,122,122,NA,4268,22, 45,54.880, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.682557,17.479,16.669,11.583,11.629,35.921,0.665,65.378,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.468,0.640,0.468,89,122,122,NA,4268,22, 45,54.880, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.699238,16.681,16.668,11.558,11.751,35.909,0.704,65.368,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.491,0.670,0.491,89,122,122,NA,4268,22, 45,54.880, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.715014,15.776,16.705,12.772,12.741,36.838,0.808,65.488,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.519,0.709,0.519,89,122,122,NA,4268,22, 45,54.880, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.733923,18.910,16.620,10.687,10.675,34.549,0.565,65.389,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.433,0.591,0.433,89,122,122,NA,4268,22, 45,54.880, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.749279,15.355,16.663,11.602,11.591,35.857,0.755,64.899,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.533,0.728,0.533,89,122,122,NA,4268,22, 51,57.131, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.766226,16.947,16.669,11.259,11.303,35.579,0.667,62.928,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.483,0.660,0.483,89,122,122,NA,4268,22, 51,57.131, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.781646,15.420,16.661,12.490,12.539,36.820,0.813,65.279,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.531,0.725,0.531,89,122,122,NA,4268,22, 51,57.131, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.798731,17.085,16.671,12.052,12.109,36.406,0.709,65.356,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.479,0.654,0.479,89,122,122,NA,4268,22, 51,57.131, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.815750,17.020,16.668,11.755,11.789,36.054,0.693,65.804,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.481,0.657,0.481,89,122,122,NA,4268,22, 51,57.131, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.832783,17.032,16.666,11.325,11.384,35.688,0.668,65.849,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.481,0.656,0.481,89,122,122,NA,4268,22, 51,57.131, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.848510,15.727,16.666,12.298,12.504,36.627,0.795,65.737,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.520,0.711,0.520,89,122,122,NA,4268,22, 51,57.131, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.865194,16.684,16.680,12.255,12.311,36.623,0.738,65.828,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.491,0.670,0.491,89,122,122,NA,4268,22, 51,57.131, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.882641,17.447,16.649,11.487,11.745,35.825,0.673,65.782,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.469,0.641,0.469,89,122,122,NA,4268,22, 51,57.131, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.899180,16.539,16.670,11.602,11.656,35.957,0.705,65.833,2775,9001,76,58,NA,NA,NA,NA,NA,NA,0.495,0.676,0.495,89,122,122,NA,4268,22, 51,57.131, 65,30,22,26,20,24,19,19,18,34,25,30,32,22,16,22,0,27,20,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.914960,15.781,16.680,12.604,12.593,36.856,0.798,64.503,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.519,0.708,0.519,89,122,122,NA,4265,24, 51,57.131, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.931890,16.930,16.667,12.237,12.279,36.594,0.725,64.555,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.483,0.660,0.483,89,122,122,NA,4265,24, 51,57.131, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.949176,17.286,16.650,11.628,11.883,35.958,0.687,64.087,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.473,0.646,0.473,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.966190,17.014,16.671,11.268,11.446,35.614,0.673,64.514,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.481,0.657,0.481,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.981967,15.776,16.674,12.165,12.255,36.512,0.777,64.505,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.519,0.708,0.519,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6630.998556,16.590,16.669,12.234,12.281,36.591,0.740,64.506,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.493,0.673,0.493,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.015823,17.267,16.650,11.626,11.708,35.975,0.678,64.490,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.474,0.647,0.474,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.032710,16.887,16.682,11.425,11.451,35.770,0.678,64.543,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.485,0.661,0.485,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.048355,15.645,16.666,12.436,12.506,36.791,0.799,64.534,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.523,0.714,0.523,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.065352,16.997,16.672,12.093,12.147,36.466,0.715,64.504,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.481,0.657,0.481,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.082487,17.135,16.649,11.685,11.901,35.979,0.695,64.494,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.478,0.652,0.478,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.099331,16.844,16.677,11.465,11.494,35.813,0.682,64.535,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.486,0.663,0.486,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.115149,15.818,16.653,12.308,12.569,36.648,0.795,64.465,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.517,0.706,0.517,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.132098,16.950,16.670,11.997,12.059,36.369,0.711,64.534,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.483,0.659,0.483,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.149119,17.020,16.666,11.735,11.850,36.014,0.696,64.498,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.481,0.656,0.481,89,122,122,NA,4265,24, 36,54.108, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.165732,16.614,16.666,11.705,11.761,36.066,0.708,64.542,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.493,0.672,0.493,89,122,122,NA,4265,24, 45,54.856, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.182210,16.477,16.662,11.926,11.962,36.251,0.726,64.448,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.497,0.678,0.497,89,122,122,NA,4265,24, 45,54.856, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022101432F80,0,512,Composed: Flip,0,6631.198766,16.556,16.665,11.995,12.054,36.360,0.728,64.603,2775,9001,77,58,NA,NA,NA,NA,NA,NA,0.494,0.675,0.494,89,122,122,NA,4265,24, 45,54.856, 65,32,24,29,20,26,19,23,17,33,35,31,34,22,16,24,0,28,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
