Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,703.455996,17.993,15.794,0.179,12.118,12.118,0.673,29.233,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.367,0.491,0.367,113,151,151,NA,4334,10, 40,36.235, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,703.469233,13.236,14.876,0.205,13.758,13.758,1.039,29.078,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.499,0.668,0.499,113,151,151,NA,4334,10, 40,36.235, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,703.483134,13.901,14.814,0.187,14.670,14.670,1.055,28.879,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.475,0.636,0.475,113,151,151,NA,4334,10, 40,36.235, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,703.499211,16.077,14.884,0.202,13.477,13.477,0.838,28.617,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.411,0.550,0.411,113,151,151,NA,4334,10, 40,36.235, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,1,18336,0x000001D574DC8BD0,0,0,Hardware Composed: Independent Flip,0,703.513730,14.520,14.707,0.188,13.664,13.664,0.941,28.258,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.455,0.609,0.455,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.528703,14.972,29.480,0.192,13.737,28.172,0.917,42.678,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.441,0.590,0.441,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.544657,15.954,16.659,0.194,13.741,28.877,0.861,44.446,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.414,0.554,0.414,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.558306,13.649,16.660,0.215,15.378,31.888,1.127,46.236,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.484,0.648,0.484,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.573136,14.830,8.341,0.198,16.529,25.399,1.115,39.662,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.445,0.596,0.445,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.590064,16.928,16.662,0.197,14.799,25.133,0.874,41.436,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.390,0.522,0.390,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.603780,13.716,16.660,0.156,16.536,28.078,1.206,43.237,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.482,0.645,0.482,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.618534,14.754,16.666,0.162,17.082,29.989,1.158,45.058,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.448,0.599,0.448,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.633618,15.084,16.664,0.175,17.315,31.569,1.148,46.030,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.438,0.586,0.438,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.649263,15.645,16.695,0.160,16.829,32.619,1.076,47.487,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.422,0.565,0.422,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.666707,17.444,8.296,0.168,14.847,23.471,0.851,40.282,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.379,0.507,0.379,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.680546,13.839,16.722,0.157,16.765,26.355,1.211,41.528,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.477,0.639,0.477,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.695435,14.889,16.611,0.166,17.844,28.077,1.199,42.664,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.444,0.594,0.444,113,151,151,NA,4334,10, 51,37.106, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.711088,15.654,16.661,0.153,17.840,29.084,1.140,43.723,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.422,0.565,0.422,113,151,151,NA,4334,10, 37,41.271, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.726569,15.481,16.673,0.154,17.609,30.276,1.137,44.650,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.427,0.571,0.427,113,151,151,NA,4334,10, 37,41.271, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.742658,16.089,16.653,0.161,16.910,30.841,1.051,45.568,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.411,0.549,0.411,113,151,151,NA,4334,10, 37,41.271, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.758653,15.994,16.746,0.180,16.239,31.592,1.015,46.446,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.413,0.553,0.413,113,151,151,NA,4334,10, 37,41.271, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.774264,15.611,8.248,0.166,15.843,24.229,1.015,38.808,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.423,0.566,0.423,113,151,151,NA,4334,10, 37,41.271, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.790155,15.891,16.655,0.236,15.436,24.993,0.971,39.521,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.416,0.556,0.416,113,151,151,NA,4334,10, 37,41.271, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.806296,16.141,16.727,0.160,14.603,25.580,0.905,40.202,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.409,0.548,0.409,113,151,151,NA,4334,10, 37,41.271, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.822182,15.887,16.602,0.173,14.132,26.296,0.890,40.867,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.416,0.556,0.416,113,151,151,NA,4334,10, 37,41.271, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.837642,15.460,16.708,0.160,13.853,27.544,0.896,41.534,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.427,0.572,0.427,113,151,151,NA,4334,10, 37,41.271, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.853286,15.644,16.620,0.158,13.595,28.520,0.869,42.186,2775,9001,97,62,NA,NA,NA,NA,NA,NA,0.422,0.565,0.422,113,151,151,NA,4334,10, 37,41.271, 65,23,0,1,0,0,0,0,0,77,0,50,0,0,0,0,0,18,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.871486,18.200,16.665,0.182,12.501,26.985,0.687,42.844,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.364,0.487,0.364,112,150,150,NA,4329,13, 37,41.271, 65,29,1,11,1,3,2,1,2,71,1,68,1,1,1,1,1,23,14,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.885844,14.358,16.669,0.159,13.318,29.296,0.928,43.599,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.462,0.618,0.462,112,150,150,NA,4329,13, 37,41.271, 65,29,1,11,1,3,2,1,2,71,1,68,1,1,1,1,1,23,14,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.901232,15.388,8.304,0.152,13.362,22.212,0.868,36.039,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.431,0.576,0.431,112,150,150,NA,4329,13, 37,41.271, 65,29,1,11,1,3,2,1,2,71,1,68,1,1,1,1,1,23,14,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.916684,15.452,16.671,0.145,13.522,23.430,0.875,37.102,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.429,0.574,0.429,112,150,150,NA,4329,13, 41,37.130, 65,29,1,11,1,3,2,1,2,71,1,68,1,1,1,1,1,23,14,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18336,0x000001D574DC8BD0,0,0,Composed: Flip,0,703.932563,15.879,16.666,0.199,13.042,24.218,0.821,38.175,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.417,0.558,0.417,112,150,150,NA,4329,13, 41,37.130, 65,29,1,11,1,3,2,1,2,71,1,68,1,1,1,1,1,23,14,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
