Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.375054,25.369,24.991,0.225,10.061,28.792,0.397,73.210,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.390,0.553,0.390,71,101,101,NA,4362,49, 50,73.798, 65,100,32,66,30,60,38,50,40,69,63,57,72,58,35,44,31,38,31,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.400474,25.420,25.047,7.959,10.031,28.419,0.395,73.158,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.385,0.547,0.385,71,102,102,NA,4360,48, 58,73.218, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.428145,27.671,33.268,0.141,10.808,34.017,0.391,81.125,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.354,0.502,0.354,71,102,102,NA,4360,48, 58,73.218, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.450032,21.887,16.687,0.145,10.405,28.816,0.475,70.798,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.448,0.635,0.448,71,102,102,NA,4360,48, 58,73.218, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.475006,24.974,25.001,0.147,10.424,28.844,0.417,72.854,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.392,0.556,0.392,71,102,102,NA,4360,48, 58,73.218, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.500289,25.283,25.003,0.148,10.634,28.564,0.421,72.839,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.388,0.550,0.388,71,102,102,NA,4360,48, 58,73.218, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.525230,24.941,24.992,0.140,10.264,28.615,0.412,72.772,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.393,0.557,0.393,71,102,102,NA,4360,48, 58,73.218, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.549657,24.427,25.005,0.139,10.509,29.192,0.430,72.808,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.401,0.569,0.401,71,102,102,NA,4360,48, 58,73.218, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.574878,25.221,24.998,0.146,10.339,28.970,0.410,72.856,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.388,0.551,0.388,71,102,102,NA,4360,48, 58,73.218, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.599871,24.993,25.002,0.137,10.728,28.978,0.429,72.820,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.392,0.556,0.392,71,102,102,NA,4360,48, 55,74.884, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.624616,24.745,24.997,0.146,10.280,29.230,0.415,70.868,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.396,0.562,0.396,71,102,102,NA,4360,48, 55,74.884, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.649928,25.312,24.995,0.140,10.505,28.913,0.415,70.739,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.387,0.549,0.387,71,102,102,NA,4360,48, 55,74.884, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.674719,24.791,25.003,0.138,10.384,29.125,0.419,70.852,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.395,0.560,0.395,71,102,102,NA,4360,48, 55,74.884, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.700129,25.411,25.002,0.146,10.447,28.717,0.411,70.836,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.386,0.547,0.386,71,102,102,NA,4360,48, 55,74.884, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.724810,24.681,24.996,0.151,10.353,29.032,0.419,70.897,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.397,0.563,0.397,71,102,102,NA,4360,48, 55,74.884, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.749736,24.926,25.001,0.145,10.319,29.108,0.414,70.907,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.393,0.557,0.393,71,102,102,NA,4360,48, 55,74.884, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.775043,25.306,25.009,0.136,10.553,28.810,0.417,70.909,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.387,0.549,0.387,71,102,102,NA,4360,48, 55,74.884, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.799666,24.624,24.985,0.140,10.599,29.172,0.430,70.903,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.398,0.564,0.398,71,102,102,NA,4360,48, 52,75.026, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.824764,25.098,25.005,0.150,10.214,29.079,0.407,72.273,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.390,0.554,0.390,71,102,102,NA,4360,48, 52,75.026, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.849820,25.055,24.997,0.135,10.322,29.020,0.412,72.272,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.391,0.555,0.391,71,102,102,NA,4360,48, 52,75.026, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.875146,25.326,24.999,0.147,10.362,28.692,0.409,72.273,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.387,0.549,0.387,71,102,102,NA,4360,48, 52,75.026, 65,100,29,83,31,64,30,50,28,77,58,81,50,47,32,40,27,36,29,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.900008,24.862,25.001,0.131,10.278,28.832,0.413,72.219,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.393,0.557,0.393,72,102,102,NA,4361,49, 52,75.026, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.924632,24.624,25.000,0.147,10.284,29.208,0.418,72.270,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.397,0.563,0.397,72,102,102,NA,4361,49, 52,75.026, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.949983,25.351,25.002,0.154,10.323,28.858,0.407,72.264,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.386,0.546,0.386,72,102,102,NA,4361,49, 52,75.026, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6857.974865,24.882,24.995,0.142,10.395,28.972,0.418,72.268,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.393,0.557,0.393,72,102,102,NA,4361,49, 52,75.026, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6858.000345,25.480,24.998,0.149,10.511,28.490,0.413,72.267,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.384,0.544,0.384,72,102,102,NA,4361,49, 51,73.950, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6858.024819,24.474,25.008,0.140,10.213,29.024,0.417,72.282,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.400,0.566,0.400,72,102,102,NA,4361,49, 51,73.950, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6858.049833,25.015,24.990,0.137,10.304,28.999,0.412,72.227,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.391,0.554,0.391,72,102,102,NA,4361,49, 51,73.950, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6858.074772,24.938,25.007,0.155,10.316,29.068,0.414,72.280,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.392,0.555,0.392,72,102,102,NA,4361,49, 51,73.950, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6858.099766,24.994,24.999,0.135,10.638,29.073,0.426,71.516,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.391,0.554,0.391,72,102,102,NA,4361,49, 51,73.950, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6858.125501,25.735,24.997,0.298,10.132,28.335,0.394,71.684,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.380,0.538,0.380,72,102,102,NA,4361,49, 51,73.950, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6858.150850,25.350,24.994,0.154,10.254,27.980,0.405,71.651,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.386,0.546,0.386,72,102,102,NA,4361,49, 51,73.950, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,19880,0x000002406E75CA10,0,512,Composed: Flip,0,6858.174801,23.950,25.001,0.136,10.382,29.031,0.433,71.663,2775,9001,54,56,NA,NA,NA,NA,NA,NA,0.408,0.578,0.408,72,102,102,NA,4361,49, 51,73.950, 65,100,32,71,31,57,35,51,31,69,61,60,83,55,38,42,26,37,30,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
