Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17896,0x000002973D1906B0,0,512,Hardware Composed: Independent Flip,0,2048.038035,18.062,17.930,0.215,10.260,10.424,0.568,41.727,2730,9001,99,67,NA,NA,NA,NA,NA,NA,0.332,0.435,0.332,127,166,166,NA,4310,27, 47,57.055, 65,38,21,33,20,33,20,28,19,52,32,37,35,27,18,26,14,27,23,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17896,0x000002973D1906B0,0,512,Hardware Composed: Independent Flip,0,2048.056172,18.137,18.145,0.200,10.412,10.431,0.574,41.667,2730,9001,99,67,NA,NA,NA,NA,NA,NA,0.331,0.433,0.331,127,166,166,NA,4310,27, 45,56.474, 65,38,21,33,20,33,20,28,19,52,32,37,35,27,18,26,14,27,23,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17896,0x000002973D1906B0,0,512,Hardware Composed: Independent Flip,0,2048.074276,18.104,18.140,0.205,10.238,10.467,0.566,41.724,2730,9001,99,67,NA,NA,NA,NA,NA,NA,0.331,0.434,0.331,127,166,166,NA,4310,27, 45,56.474, 65,38,21,33,20,33,20,28,19,52,32,37,35,27,18,26,14,27,23,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17896,0x000002973D1906B0,0,512,Hardware Composed: Independent Flip,0,2048.092406,18.130,18.056,0.192,10.333,10.393,0.570,41.278,2730,9001,99,67,NA,NA,NA,NA,NA,NA,0.331,0.434,0.331,127,166,166,NA,4310,27, 45,56.474, 65,38,21,33,20,33,20,28,19,52,32,37,35,27,18,26,14,27,23,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17896,0x000002973D1906B0,0,512,Hardware Composed: Independent Flip,0,2048.110515,18.109,126.787,1.283,10.214,119.071,0.564,149.996,2730,9001,99,67,NA,NA,NA,NA,NA,NA,0.331,0.434,0.331,127,166,166,NA,4310,27, 45,56.474, 65,38,21,33,20,33,20,28,19,52,32,37,35,27,18,26,14,27,23,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.128669,18.154,8.450,0.173,10.763,109.368,0.593,138.752,2730,9001,99,67,NA,NA,NA,NA,NA,NA,0.330,0.433,0.330,127,166,166,NA,4310,27, 45,56.474, 65,38,21,33,20,33,20,28,19,52,32,37,35,27,18,26,14,27,23,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.146758,18.090,16.657,0.205,83.170,107.935,4.598,138.915,2730,9001,99,67,NA,NA,NA,NA,NA,NA,0.331,0.435,0.331,127,166,166,NA,4310,27, 45,56.474, 65,38,21,33,20,33,20,28,19,52,32,37,35,27,18,26,14,27,23,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.164865,18.107,16.534,0.161,87.342,106.362,4.824,137.279,2730,9001,99,67,NA,NA,NA,NA,NA,NA,0.331,0.434,0.331,127,166,166,NA,4310,27, 45,56.474, 65,38,21,33,20,33,20,28,19,52,32,37,35,27,18,26,14,27,23,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.241970,77.105,25.113,0.200,31.169,54.370,0.404,144.059,2730,9001,99,67,NA,NA,NA,NA,NA,NA,0.078,0.102,0.078,127,166,166,NA,4310,27, 45,56.474, 65,38,21,33,20,33,20,28,19,52,32,37,35,27,18,26,14,27,23,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.260357,18.387,16.579,0.146,32.675,52.562,1.777,95.358,2730,9001,99,67,NA,NA,NA,NA,NA,NA,0.326,0.428,0.326,127,166,166,NA,4310,27, 46,54.230, 65,38,21,33,20,33,20,28,19,52,32,37,35,27,18,26,14,27,23,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.280980,20.623,25.067,0.121,32.037,57.006,1.553,98.392,2730,9001,99,67,NA,NA,NA,NA,NA,NA,0.291,0.381,0.291,127,166,166,NA,4310,27, 46,54.230, 65,38,21,33,20,33,20,28,19,52,32,37,35,27,18,26,14,27,23,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.301056,20.076,16.626,0.156,33.884,53.555,1.688,94.165,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.304,0.401,0.304,124,163,163,NA,4309,28, 46,54.230, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.321374,20.318,25.091,0.147,34.117,58.328,1.679,99.167,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.301,0.397,0.301,124,163,163,NA,4309,28, 46,54.230, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.342737,21.362,16.613,0.146,33.062,53.579,1.548,95.839,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.286,0.377,0.286,124,163,163,NA,4309,28, 46,54.230, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.362525,19.788,16.595,0.158,33.253,50.386,1.680,90.996,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.309,0.407,0.309,124,163,163,NA,4309,28, 46,54.230, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.383823,21.298,25.025,0.134,32.976,54.112,1.548,95.860,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.287,0.378,0.287,124,163,163,NA,4309,28, 46,54.230, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.405251,21.428,16.620,0.138,31.228,49.305,1.457,91.835,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.285,0.376,0.285,124,163,163,NA,4309,28, 46,54.230, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.424339,19.088,25.117,0.155,33.178,55.334,1.738,96.573,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.320,0.422,0.320,124,163,163,NA,4309,28, 46,54.230, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.444296,19.957,16.555,0.143,33.270,51.932,1.667,92.471,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.306,0.404,0.306,124,163,163,NA,4309,28, 46,54.230, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.464847,20.551,25.085,0.125,32.926,56.466,1.602,97.442,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.297,0.392,0.297,124,163,163,NA,4309,28, 52,58.269, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.485411,20.564,16.581,0.149,33.002,52.483,1.605,93.510,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.297,0.392,0.297,124,163,163,NA,4309,28, 52,58.269, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.505726,20.314,25.152,0.128,33.386,57.320,1.643,98.513,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.301,0.397,0.301,124,163,163,NA,4309,28, 52,58.269, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.526346,20.620,16.518,0.151,32.807,53.218,1.591,94.759,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.296,0.391,0.296,124,163,163,NA,4309,28, 52,58.269, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.546337,19.991,16.654,0.156,32.998,49.881,1.651,90.833,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.306,0.403,0.306,124,163,163,NA,4309,28, 52,58.269, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.566590,20.253,25.037,0.149,33.201,54.664,1.639,94.250,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.302,0.398,0.302,124,163,163,NA,4309,28, 52,58.269, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.587046,20.457,16.631,0.144,32.939,50.839,1.610,90.536,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.299,0.394,0.299,124,163,163,NA,4309,28, 52,58.269, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.607527,20.481,25.045,0.177,33.567,55.402,1.639,95.248,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.298,0.394,0.298,124,163,163,NA,4309,28, 52,58.269, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.627646,20.118,16.622,0.147,33.356,51.906,1.658,91.556,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.304,0.401,0.304,124,163,163,NA,4309,28, 52,58.269, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.648449,20.803,25.112,0.131,33.491,56.215,1.610,96.289,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.294,0.387,0.294,124,163,163,NA,4309,28, 52,58.269, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.668768,20.319,16.553,0.155,33.035,52.449,1.626,92.138,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.301,0.397,0.301,124,163,163,NA,4309,28, 55,59.374, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.689493,20.725,25.095,0.127,34.089,56.819,1.645,96.750,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.295,0.389,0.295,124,163,163,NA,4309,28, 55,59.374, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.709783,20.290,16.623,0.144,33.101,53.151,1.631,92.818,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.301,0.397,0.301,124,163,163,NA,4309,28, 55,59.374, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,2048.729168,19.385,16.608,0.167,33.756,50.375,1.741,88.843,2730,9001,99,66,NA,NA,NA,NA,NA,NA,0.315,0.416,0.315,124,163,163,NA,4309,28, 55,59.374, 65,40,21,35,21,34,20,28,20,55,32,35,35,27,17,26,14,27,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
