Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,5720,0x0000000062E2CFE0,0,0,Hardware Composed: Independent Flip,0,454.585128,16.509,15.770,0.199,17.488,17.501,1.059,62.302,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.420,0.563,0.420,107,144,144,NA,4355,38, 53,71.283, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,0,5720,0x0000000062E2CFE0,0,0,Hardware Composed: Independent Flip,0,454.601799,16.671,138.981,0.205,19.539,139.812,1.172,185.465,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.416,0.558,0.416,107,144,144,NA,4355,38, 53,71.283, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.620007,18.208,8.415,1.021,17.786,130.018,0.977,177.547,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.380,0.511,0.380,107,144,144,NA,4355,38, 52,71.451, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.637042,17.035,16.552,0.205,104.827,129.535,6.154,177.682,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.407,0.546,0.407,107,144,144,NA,4355,38, 52,71.451, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.652927,15.885,16.695,0.177,107.437,130.345,6.763,175.197,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.436,0.585,0.436,107,144,144,NA,4355,38, 52,71.451, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.757583,104.655,16.627,0.243,21.213,42.316,0.203,175.546,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.066,0.089,0.066,107,144,144,NA,4355,38, 52,71.451, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.773014,15.432,16.668,0.179,21.590,43.553,1.399,176.090,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.449,0.603,0.449,107,144,144,NA,4355,38, 52,71.451, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.790302,17.288,16.707,0.189,22.281,42.972,1.289,87.787,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.401,0.538,0.401,107,144,144,NA,4355,38, 52,71.451, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.809254,18.952,16.631,0.166,19.394,40.652,1.023,88.060,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.366,0.491,0.366,107,144,144,NA,4355,38, 52,71.451, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.824564,15.311,16.657,0.205,22.273,41.998,1.455,87.143,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.452,0.607,0.452,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.844655,20.091,16.678,0.164,17.900,38.585,0.891,86.999,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.345,0.463,0.345,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.860834,16.179,16.668,0.161,18.561,39.074,1.147,86.177,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.428,0.575,0.428,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.877434,16.600,16.621,0.168,18.843,39.094,1.135,85.726,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.417,0.560,0.417,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.893958,16.523,16.671,0.167,19.238,39.242,1.164,85.678,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.419,0.563,0.419,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.910740,16.782,16.673,0.156,19.293,39.133,1.150,85.820,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.413,0.554,0.413,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.929003,18.263,16.650,0.193,19.254,37.520,1.054,85.363,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.379,0.509,0.379,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.945077,16.074,16.666,0.179,19.014,38.112,1.183,85.374,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.431,0.579,0.431,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.962626,17.549,16.662,0.170,18.330,37.225,1.045,85.124,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.395,0.530,0.395,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.979195,16.569,16.672,0.172,18.511,37.328,1.117,85.134,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.418,0.561,0.418,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,454.996843,17.648,16.660,0.194,18.810,36.340,1.066,83.631,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.393,0.527,0.393,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.013594,16.751,16.688,0.174,17.995,36.276,1.074,83.657,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.414,0.555,0.414,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.029804,16.209,16.654,0.191,18.767,36.721,1.158,83.514,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.427,0.574,0.427,107,144,144,NA,4355,38, 50,64.502, 65,100,27,65,23,64,0,55,0,66,55,72,54,50,0,39,0,27,21,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.046859,17.055,16.656,0.180,18.572,36.323,1.089,82.974,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.414,0.557,0.414,105,141,141,NA,4360,39, 50,71.498, 65,100,30,70,30,60,1,62,1,74,47,79,42,49,1,39,1,29,22,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.064140,17.281,25.059,0.217,19.200,44.101,1.111,92.164,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.408,0.549,0.408,105,141,141,NA,4360,39, 50,71.498, 65,100,30,70,30,60,1,62,1,74,47,79,42,49,1,39,1,29,22,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.080476,16.336,8.288,0.241,18.721,36.053,1.146,83.783,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.432,0.581,0.432,105,141,141,NA,4360,39, 50,71.498, 65,100,30,70,30,60,1,62,1,74,47,79,42,49,1,39,1,29,22,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.099047,18.571,16.676,0.220,17.243,34.158,0.928,83.427,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.380,0.511,0.380,105,141,141,NA,4360,39, 50,71.498, 65,100,30,70,30,60,1,62,1,74,47,79,42,49,1,39,1,29,22,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.114264,15.217,16.632,0.167,18.840,35.573,1.238,83.096,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.464,0.624,0.464,105,141,141,NA,4360,39, 50,71.498, 65,100,30,70,30,60,1,62,1,74,47,79,42,49,1,39,1,29,22,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.131826,17.562,25.034,0.203,19.585,43.045,1.115,91.289,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.402,0.541,0.402,105,141,141,NA,4360,39, 50,71.498, 65,100,30,70,30,60,1,62,1,74,47,79,42,49,1,39,1,29,22,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.149120,17.294,16.655,0.183,19.332,42.405,1.118,90.722,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.408,0.549,0.408,105,141,141,NA,4360,39, 50,71.498, 65,100,30,70,30,60,1,62,1,74,47,79,42,49,1,39,1,29,22,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.166020,16.899,16.723,0.195,19.573,42.229,1.158,90.691,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.417,0.562,0.417,105,141,141,NA,4360,39, 50,71.498, 65,100,30,70,30,60,1,62,1,74,47,79,42,49,1,39,1,29,22,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.181894,15.874,16.572,0.182,20.745,42.926,1.307,91.838,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.444,0.598,0.444,105,141,141,NA,4360,39, 50,71.498, 65,100,30,70,30,60,1,62,1,74,47,79,42,49,1,39,1,29,22,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,455.200062,18.168,16.661,0.211,19.400,41.419,1.068,91.377,2775,9001,99,62,NA,NA,NA,NA,NA,NA,0.388,0.522,0.388,105,141,141,NA,4360,39, 50,71.498, 65,100,30,70,30,60,1,62,1,74,47,79,42,49,1,39,1,29,22,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
